작업자ID,담당자,소속조,교대,가능지역,경험분야,보유자격,가능일,근무시간,하루최대점검,최근야간근무,현재피로도,현재상태
W001,김민수,D01,주간,서울역·용산역,발판·구동장치,승강기 유지관리 자격,월·화·수·목·금,06:00-14:00,3,N,낮음,배정가능
W006,강준호,D01,주간,서울역·용산역,전기·안전장치,승강기 유지관리 자격,월·화·수·목·금,06:00-14:00,3,N,낮음,배정가능
W002,이수진,D02,주간,강남역·교대역,센서·전기장치,승강기 유지관리 자격,월·화·수·목·금,06:00-14:00,3,Y,높음,경감배정
W007,윤서연,D02,주간,강남역·교대역,배수·누전점검,승강기 유지관리 자격,월·화·수·목·금,06:00-14:00,3,N,낮음,배정가능
W003,박지훈,D03,주간,서울역·구로역,손잡이·안전장치,승강기 유지관리 자격,월·화·수·목·금,06:00-14:00,2,N,중간,배정가능
W008,오현우,D03,주간,서울역·구로역,구동체인·브레이크,승강기 유지관리 자격,월·화·수·목·금,06:00-14:00,3,N,낮음,배정가능
W004,최은영,D04,주간,전 지역,종합점검,관리책임자·승강기 유지관리 자격,월·화·수·목·금,06:00-14:00,3,N,낮음,배정가능
W009,한지민,D04,주간,전 지역,구조물·볼트점검,승강기 유지관리 자격,월·화·수·목·금,06:00-14:00,3,N,중간,배정가능
W005,정하늘,D05,주간,전 지역,전기·구동장치,승강기 유지관리 자격,월·화·수·목·금,06:00-14:00,2,N,낮음,배정가능
W010,서동혁,D05,주간,전 지역,센서·제어장치,승강기 유지관리 자격,월·화·수·목·금,06:00-14:00,3,N,낮음,배정가능
W011,배수아,D06,주간,교대역·강남역,배수·차수설비,승강기 유지관리 자격,월·화·수·목·금,06:00-14:00,3,N,낮음,배정가능
W012,문태윤,D06,주간,교대역·강남역,누전·전기장치,승강기 유지관리 자격,월·화·수·목·금,06:00-14:00,3,N,중간,배정가능
W013,조하린,E01,석간,서울역·용산역,발판·구동장치,승강기 유지관리 자격,월·화·수·목·금,14:00-22:00,3,N,낮음,배정가능
W014,장우진,E01,석간,서울역·용산역,센서·안전장치,승강기 유지관리 자격,월·화·수·목·금,14:00-22:00,3,N,낮음,배정가능
W015,임채원,E02,석간,강남역·교대역,전기·제어장치,승강기 유지관리 자격,월·화·수·목·금,14:00-22:00,3,N,중간,배정가능
W016,신도윤,E02,석간,강남역·교대역,배수·누전점검,승강기 유지관리 자격,월·화·수·목·금,14:00-22:00,3,N,낮음,배정가능
W017,유나영,E03,석간,서울역·구로역,손잡이·브레이크,승강기 유지관리 자격,월·화·수·목·금,14:00-22:00,2,N,낮음,배정가능
W018,고민재,E03,석간,서울역·구로역,구동체인·윤활,승강기 유지관리 자격,월·화·수·목·금,14:00-22:00,3,N,중간,배정가능
W019,백서진,E04,석간,용산역·구로역,센서·제어장치,승강기 유지관리 자격,월·화·수·목·금,14:00-22:00,3,N,낮음,배정가능
W020,노현석,E04,석간,용산역·구로역,구조물·볼트점검,승강기 유지관리 자격,월·화·수·목·금,14:00-22:00,3,N,낮음,배정가능
W021,송예린,E05,석간,전 지역,종합점검,관리책임자·승강기 유지관리 자격,월·화·수·목·금,14:00-22:00,3,N,중간,배정가능
W022,안재훈,E05,석간,전 지역,전기·안전장치,승강기 유지관리 자격,월·화·수·목·금,14:00-22:00,3,N,낮음,배정가능
W023,전수빈,E06,석간,강남역·서울역,배수·차수설비,승강기 유지관리 자격,월·화·수·목·금,14:00-22:00,2,N,낮음,배정가능
W024,홍민규,E06,석간,강남역·서울역,누전·전기장치,승강기 유지관리 자격,월·화·수·목·금,14:00-22:00,3,N,중간,배정가능
W025,양지우,N01,야간,서울역·용산역,발판·구동장치,승강기 유지관리 자격,월·화·수·목·금,22:00-06:00,2,Y,중간,배정가능
W026,남도현,N01,야간,서울역·용산역,전기·안전장치,승강기 유지관리 자격,월·화·수·목·금,22:00-06:00,2,Y,낮음,배정가능
W027,류가은,N02,야간,강남역·교대역,센서·제어장치,승강기 유지관리 자격,월·화·수·목·금,22:00-06:00,2,Y,중간,배정가능
W028,하준영,N02,야간,강남역·교대역,배수·누전점검,승강기 유지관리 자격,월·화·수·목·금,22:00-06:00,2,Y,중간,배정가능
W029,진소희,N03,야간,서울역·구로역,손잡이·브레이크,승강기 유지관리 자격,월·화·수·목·금,22:00-06:00,2,Y,낮음,배정가능
W030,구민석,N03,야간,서울역·구로역,구동체인·윤활,승강기 유지관리 자격,월·화·수·목·금,22:00-06:00,2,Y,중간,배정가능
W031,채아린,N04,야간,용산역·구로역,센서·전기장치,승강기 유지관리 자격,월·화·수·목·금,22:00-06:00,2,Y,낮음,배정가능
W032,권도윤,N04,야간,용산역·구로역,구조물·안전장치,승강기 유지관리 자격,월·화·수·목·금,22:00-06:00,2,Y,중간,배정가능
W033,최유진,N05,야간,전 지역,종합점검,관리책임자·승강기 유지관리 자격,월·화·수·목·금,22:00-06:00,2,Y,중간,배정가능
W034,박서준,N05,야간,전 지역,전기·구동장치,승강기 유지관리 자격,월·화·수·목·금,22:00-06:00,2,Y,높음,경감배정
W035,김가람,R01,대체,전 지역,종합점검·일정지원,관리책임자·승강기 유지관리 자격,월·화·수·목·금,06:00-22:00,2,N,낮음,긴급대기
